,Symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-l/100km,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.43831506892451066,-0.8513345559782994,-2.029014503258046,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27.0,13495.0,Low,False,True,True,False
1,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.43831506892451066,-0.8513345559782994,-2.029014503258046,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27.0,16500.0,Low,False,True,True,False
2,1.0,122.0,alfa-romero,two,hatchback,rwd,front,94.5,-0.24354426084678196,-0.18513448909205418,-0.5583194270710059,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,26.0,16500.0,Medium,False,True,True,False
3,2.0,164.0,audi,four,sedan,fwd,front,99.8,0.19469005732811231,0.14796554435106846,0.21788075202770876,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,30.0,13950.0,Low,False,True,True,False
4,2.0,164.0,audi,four,sedan,4wd,front,99.4,0.19469005732811231,0.2431369824776759,0.21788075202770876,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,22.0,17450.0,Low,False,True,True,False
5,2.0,122.0,audi,two,sedan,fwd,front,99.8,0.25149820968411846,0.1955512634143688,-0.27235094003463595,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25.0,15250.0,Low,False,True,True,False
6,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.501277561516221,2.622422935642828,0.7898177261004486,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25.0,17710.0,Low,False,True,True,False
7,1.0,122.0,audi,four,wagon,fwd,front,105.8,1.501277561516221,2.622422935642828,0.7898177261004486,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25.0,18920.0,Low,False,True,True,False
8,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.501277561516221,2.622422935642828,0.8715230081108379,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,20.0,23875.0,Medium,False,True,False,True
9,2.0,192.0,bmw,two,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29.0,16430.0,Low,False,True,False,True
10,0.0,192.0,bmw,four,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29.0,16925.0,Low,False,True,True,False
11,0.0,188.0,bmw,two,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28.0,20970.0,Medium,False,True,True,False
12,0.0,188.0,bmw,four,sedan,rwd,front,101.2,0.2109209580012579,-0.5182345225351769,0.21788075202770876,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28.0,21105.0,Medium,False,True,True,False
13,1.0,122.0,bmw,four,sedan,rwd,front,103.5,1.201005899063054,0.48106557779419107,0.7898177261004486,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,25.0,24565.0,Medium,False,True,True,False
14,0.0,122.0,bmw,four,sedan,rwd,front,103.5,1.201005899063054,0.48106557779419107,0.7898177261004486,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22.0,30760.0,Medium,False,True,True,False
15,0.0,122.0,bmw,two,sedan,rwd,front,103.5,1.5905475152185162,0.9569227684272215,-0.027235094003462145,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22.0,41315.0,Medium,False,True,True,False
16,0.0,122.0,bmw,four,sedan,rwd,front,110.0,1.8502419259888228,2.3844943403263126,1.0349335721316195,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,15.666666666666666,20.0,36880.0,Medium,False,True,True,False
17,2.0,121.0,chevrolet,two,hatchback,fwd,front,88.4,-2.6862948121549857,-2.6595918803838137,-0.23149829902943983,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100.0,5.0,53.0,5151.0,Low,False,True,True,False
18,1.0,98.0,chevrolet,two,hatchback,fwd,front,94.5,-1.485208162342313,-1.0892631512948112,-0.7217299910917875,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43.0,6295.0,Low,False,True,True,False
19,0.0,81.0,chevrolet,four,sedan,fwd,front,94.5,-1.2498601025817215,-1.0892631512948112,-0.7217299910917875,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,6.184210526315789,43.0,6575.0,Low,False,True,True,False
20,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.371591857630303,-0.9940917131682072,-1.211961683154135,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,5500.0,6.351351351351352,41.0,5572.0,Low,False,True,True,False
21,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.371591857630303,-0.9940917131682072,-1.211961683154135,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6377.0,Low,False,True,True,False
22,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.371591857630303,-0.9940917131682072,-1.211961683154135,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30.0,7957.0,Low,False,True,True,False
23,1.0,148.0,dodge,four,hatchback,fwd,front,93.7,-1.371591857630303,-0.9940917131682072,-1.2936669651645243,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6229.0,Low,False,True,False,True
24,1.0,148.0,dodge,four,sedan,fwd,front,93.7,-1.371591857630303,-0.9940917131682072,-1.2936669651645243,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6692.0,Low,False,True,True,False
25,1.0,148.0,dodge,four,sedan,fwd,front,93.7,-1.371591857630303,-0.9940917131682072,-1.2936669651645243,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,7609.0,Low,False,True,True,False
26,1.0,148.0,dodge,four,sedan,fwd,front,93.7,-1.371591857630303,-0.9940917131682072,-1.2936669651645243,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30.0,8558.0,Low,False,True,True,False
27,-1.0,110.0,dodge,four,wagon,fwd,front,103.3,0.03238105059667016,-0.6134059606617842,2.4647760073134632,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88.0,5000.0,9.791666666666666,30.0,8921.0,Low,False,True,False,True
28,3.0,145.0,dodge,two,hatchback,fwd,front,95.9,-0.0812352541153398,0.1955512634143688,-1.457077529185306,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145.0,5000.0,12.368421052631579,24.0,12964.0,Medium,False,True,True,False
29,2.0,137.0,honda,two,hatchback,fwd,front,86.6,-2.402254050374962,-0.9465059941049035,-1.211961683154135,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800.0,4.795918367346939,54.0,6479.0,Low,False,True,False,True
30,2.0,137.0,honda,two,hatchback,fwd,front,86.6,-2.402254050374962,-0.9465059941049035,-1.211961683154135,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,7.580645161290323,38.0,6855.0,Low,False,True,True,False
31,1.0,101.0,honda,two,hatchback,fwd,front,93.7,-1.9640197322000679,-0.8989202750415998,-0.4766141450606136,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60.0,5500.0,6.184210526315789,42.0,5399.0,Low,False,True,True,False
32,1.0,101.0,honda,two,hatchback,fwd,front,93.7,-1.9640197322000679,-0.8989202750415998,-0.4766141450606136,1940.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,6529.0,Low,False,True,True,False
33,1.0,101.0,honda,two,hatchback,fwd,front,93.7,-1.9640197322000679,-0.8989202750415998,-0.4766141450606136,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,7129.0,Low,False,True,True,False
34,0.0,110.0,honda,four,sedan,fwd,front,96.5,-0.876549387099405,-0.8989202750415998,0.29958603403810097,2010.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,7295.0,Low,False,True,True,False
35,0.0,78.0,honda,four,wagon,fwd,front,96.5,-1.3878227583034486,-0.9465059941049035,1.8519863922355302,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000.0,7.833333333333333,34.0,7295.0,Low,False,True,True,False
36,0.0,106.0,honda,two,hatchback,fwd,front,96.5,-0.543815923299949,-0.32789164628196193,-0.19064565802424663,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,7895.0,Low,False,True,True,False
37,0.0,106.0,honda,two,hatchback,fwd,front,96.5,-0.543815923299949,-0.32789164628196193,-0.19064565802424663,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,9095.0,Low,False,True,True,False
38,0.0,85.0,honda,four,sedan,fwd,front,96.5,0.09730465328924795,-0.32789164628196193,0.13617547001731942,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,8845.0,Low,False,True,True,False
39,0.0,85.0,honda,four,sedan,fwd,front,96.5,0.09730465328924795,-1.6127060609911454,0.13617547001731942,2372.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,33.0,10295.0,Low,False,True,True,False
40,0.0,85.0,honda,four,sedan,fwd,front,96.5,0.09730465328924795,-0.32789164628196193,0.13617547001731942,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101.0,5800.0,9.791666666666666,28.0,12945.0,Low,False,True,True,False
41,1.0,107.0,honda,two,sedan,fwd,front,96.5,-0.4139687179147957,0.05279410622446102,-1.1302564011437428,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100.0,5500.0,9.4,31.0,10345.0,Low,False,True,True,False
42,0.0,122.0,isuzu,four,sedan,rwd,front,94.3,-0.2841215125296425,-1.945806094434268,-0.10894037601385438,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78.0,4800.0,9.791666666666666,29.0,6785.0,Low,False,True,True,False
43,2.0,122.0,isuzu,two,hatchback,rwd,front,96.0,-0.12992795613477198,-0.32789164628196193,-0.9668458371229612,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90.0,5000.0,9.791666666666666,29.0,11048.0,Low,False,True,True,False
44,0.0,145.0,jaguar,four,sedan,rwd,front,113.0,2.061243634739697,1.7658799925033677,-0.3949088630502243,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19.0,32250.0,Medium,False,True,True,False
45,0.0,122.0,jaguar,four,sedan,rwd,front,113.0,2.061243634739697,1.7658799925033677,-0.3949088630502243,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,19.0,35550.0,Medium,False,True,True,False
46,0.0,122.0,jaguar,two,sedan,rwd,front,102.0,1.4201230581505,2.241737183136398,-2.4375409133100012,3950.0,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262.0,5000.0,18.076923076923077,17.0,36000.0,High,False,True,True,False
47,1.0,104.0,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720065,-0.8037488369149923,0.13617547001731942,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,7.833333333333333,31.0,5195.0,Low,False,True,True,False
48,1.0,104.0,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720065,-0.8037488369149923,0.13617547001731942,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,6095.0,Low,False,True,True,False
49,1.0,104.0,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720065,-0.8037488369149923,0.13617547001731942,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,6795.0,Low,False,True,True,False
50,1.0,113.0,mazda,four,sedan,fwd,front,93.1,-0.6006240756559529,-0.8037488369149923,0.13617547001731942,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,6695.0,Low,False,True,True,False
51,1.0,113.0,mazda,four,sedan,fwd,front,93.1,-0.6006240756559529,-0.8037488369149923,0.13617547001731942,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000.0,7.580645161290323,38.0,7395.0,Low,False,True,True,False
52,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.4220841682513674,-0.08996305096544675,-1.7021933752164797,2380.0,rotor,two,70.0,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764707,23.0,10945.0,Low,False,True,True,False
53,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.4220841682513674,-0.08996305096544675,-1.7021933752164797,2380.0,rotor,two,70.0,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764707,23.0,11845.0,Low,False,True,True,False
54,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.4220841682513674,-0.08996305096544675,-1.7021933752164797,2385.0,rotor,two,70.0,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,13.823529411764707,23.0,13645.0,Low,False,True,True,False
55,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.4220841682513674,-0.08996305096544675,-1.7021933752164797,2500.0,rotor,two,80.0,mpfi,3.330710659898477,3.256903553299492,9.4,135.0,6000.0,14.6875,23.0,15645.0,Medium,False,True,True,False
56,1.0,129.0,mazda,two,hatchback,fwd,front,98.8,0.292075461366979,0.29072270154097624,-0.027235094003462145,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,8845.0,Low,False,True,True,False
57,0.0,115.0,mazda,four,sedan,fwd,front,98.8,0.292075461366979,0.29072270154097624,0.7081124440900564,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,8495.0,Low,False,True,True,False
58,1.0,129.0,mazda,two,hatchback,fwd,front,98.8,0.292075461366979,0.29072270154097624,-0.027235094003462145,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,10595.0,Low,False,True,True,False
59,0.0,115.0,mazda,four,sedan,fwd,front,98.8,0.292075461366979,0.29072270154097624,0.7081124440900564,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,10245.0,Low,False,True,True,False
60,0.0,122.0,mazda,four,sedan,fwd,front,98.8,0.292075461366979,0.29072270154097624,0.7081124440900564,2443.0,ohc,four,122.0,idi,3.39,3.39,22.7,64.0,4650.0,6.527777777777778,42.0,10795.0,Low,True,False,True,False
61,0.0,115.0,mazda,four,hatchback,fwd,front,98.8,0.292075461366979,0.29072270154097624,0.7081124440900564,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,32.0,11245.0,Low,False,True,True,False
62,0.0,118.0,mazda,four,sedan,rwd,front,104.9,0.06484285194295905,0.10037982528776135,0.2587333930329049,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120.0,5000.0,12.368421052631579,27.0,18280.0,Medium,False,True,True,False
63,0.0,122.0,mazda,four,sedan,rwd,front,104.9,0.06484285194295905,0.10037982528776135,0.2587333930329049,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72.0,4200.0,7.580645161290323,39.0,18344.0,Low,True,False,True,False
64,-1.0,93.0,mercedes-benz,four,sedan,rwd,front,110.0,1.3551994554579245,2.0989800259464904,1.1166388541420118,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,25552.0,Medium,True,False,True,False
65,-1.0,93.0,mercedes-benz,four,wagon,rwd,front,110.0,1.3551994554579245,2.0989800259464904,2.0153969562563145,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,28248.0,Medium,True,False,True,False
66,0.0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,1.0792741440144724,2.0989800259464904,0.46299659805888255,3495.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,28176.0,Medium,True,False,True,False
67,-1.0,93.0,mercedes-benz,four,sedan,rwd,front,115.6,2.3047071448368603,2.7651800928327357,1.0349335721316195,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,25.0,31600.0,Medium,True,False,False,True
68,-1.0,122.0,mercedes-benz,four,sedan,rwd,front,115.6,2.3047071448368603,2.7651800928327357,1.1166388541420118,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,18.0,34184.0,Medium,False,True,False,True
69,3.0,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.4949617197812817,2.194151464073098,-1.211961683154135,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,18.0,35056.0,Medium,False,True,False,True
70,0.0,122.0,mercedes-benz,four,sedan,rwd,front,120.9,2.751056913348326,2.7651800928327357,1.1983441361524039,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16.0,40960.0,Medium,False,True,False,True
71,1.0,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,2.028781833393408,2.9079372500226435,0.6672598030848602,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,16.0,45400.0,Medium,False,True,True,False
72,1.0,122.0,mercury,two,hatchback,rwd,front,102.7,0.3407681633864112,1.004508487490522,0.42214395705368646,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175.0,5000.0,12.368421052631579,24.0,16503.0,Medium,False,True,True,False
73,2.0,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.371591857630303,-0.7085773987883849,-1.211961683154135,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,41.0,5389.0,Low,False,True,True,False
74,2.0,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.371591857630303,-0.7085773987883849,-1.211961683154135,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6189.0,Low,False,True,True,False
75,2.0,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.371591857630303,-0.7085773987883849,-1.211961683154135,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,38.0,6669.0,Low,False,True,False,True
76,1.0,161.0,mitsubishi,two,hatchback,fwd,front,93.0,-1.371591857630303,-0.9940917131682072,-1.211961683154135,2145.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,30.0,7689.0,Low,False,True,True,False
77,3.0,153.0,mitsubishi,two,hatchback,fwd,front,96.3,-0.0974661547884831,-0.23272020815535452,-1.783898657226872,2370.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30.0,9959.0,Low,False,True,True,False
78,3.0,153.0,mitsubishi,two,hatchback,fwd,front,96.3,-0.0974661547884831,-0.23272020815535452,-1.783898657226872,2328.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32.0,8499.0,Low,False,True,True,False
79,3.0,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.0812352541153398,0.1955512634143688,-1.457077529185306,2833.0,ohc,four,156.0,spdi,3.58,3.86,7.0,145.0,5000.0,12.368421052631579,24.0,12629.0,Medium,False,True,False,True
80,3.0,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.0812352541153398,0.1955512634143688,-1.457077529185306,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,24.0,14869.0,Medium,False,True,False,True
81,3.0,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.0812352541153398,0.1955512634143688,-1.457077529185306,2926.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,24.0,14489.0,Medium,False,True,True,False
82,1.0,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535452,-0.8851405551125691,2365.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32.0,6989.0,Low,False,True,False,True
83,1.0,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535452,-0.8851405551125691,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,32.0,8189.0,Low,False,True,False,True
84,1.0,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535452,-0.8851405551125691,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30.0,9279.0,Low,False,True,False,True
85,-1.0,137.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535452,-0.8851405551125691,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,30.0,9279.0,Low,False,True,True,False
86,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045345,-0.9940917131682072,0.29958603403810097,1889.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,5499.0,Low,False,True,True,False
87,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045345,-0.9940917131682072,0.29958603403810097,2017.0,ohc,four,103.0,idi,2.99,3.47,21.9,55.0,4800.0,5.222222222222222,50.0,7099.0,Low,True,False,False,True
88,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045345,-0.9940917131682072,0.29958603403810097,1918.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,6649.0,Low,False,True,True,False
89,1.0,122.0,nissan,four,sedan,fwd,front,94.5,-0.7223558307045345,-0.9940917131682072,0.29958603403810097,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,6849.0,Low,False,True,True,False
90,1.0,103.0,nissan,four,wagon,fwd,front,94.5,-0.32469876421250304,-0.9940917131682072,-0.10894037601385438,2024.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7349.0,Low,False,True,True,False
91,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045345,-0.9940917131682072,0.29958603403810097,1951.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7299.0,Low,False,True,True,False
92,1.0,128.0,nissan,two,hatchback,fwd,front,94.5,-0.6980094796948195,-0.9940917131682072,-0.19064565802424663,2028.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7799.0,Low,False,True,True,False
93,1.0,122.0,nissan,four,sedan,fwd,front,94.5,-0.7223558307045345,-0.9940917131682072,0.29958603403810097,1971.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7499.0,Low,False,True,True,False
94,1.0,103.0,nissan,four,wagon,fwd,front,94.5,-0.32469876421250304,-0.9940917131682072,-0.10894037601385438,2037.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,7999.0,Low,False,True,True,False
95,2.0,168.0,nissan,two,hardtop,fwd,front,95.1,-0.957703890465126,-0.9940917131682072,-0.19064565802424663,2008.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,37.0,8249.0,Low,False,True,True,False
96,0.0,106.0,nissan,four,hatchback,fwd,front,97.2,-0.06500435344219421,-0.32789164628196193,0.38129131604849326,2324.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34.0,8949.0,Low,False,True,True,False
97,0.0,106.0,nissan,four,sedan,fwd,front,97.2,-0.06500435344219421,-0.32789164628196193,0.38129131604849326,2302.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,34.0,9549.0,Low,False,True,True,False
98,0.0,128.0,nissan,four,sedan,fwd,front,100.4,0.6085780244932893,0.29072270154097624,0.5447018800692748,3095.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,22.0,13499.0,Medium,False,True,True,False
99,0.0,108.0,nissan,four,wagon,fwd,front,100.4,0.8439260842538809,0.29072270154097624,0.9532282901212302,3296.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,22.0,14399.0,Medium,False,True,True,False
